Site;Lien;URL;URL courte
Kaggle - Profil;Profil Dévi;https://www.kaggle.com/devibe;
Kaggle - Profil;Profil James;https://www.kaggle.com/raimanupain;
Kaggle - Profil;Profil Raimanu;https://www.kaggle.com/jasknky;
Kaggle - Notebook;PRIX.NC_DATAUSE_Détection_anomalies_XGBoost;https://www.kaggle.com/code/devibe/prix-nc-datause-d-tection-anomalies-xgboost;https://bit.ly/44Lfdgq
Kaggle - Notebook;PRIX.NC_DATAUSE_Détection_anomalies_Random_Forest;https://www.kaggle.com/code/raimanupain/prix-nc-datause-d-tection-anomalies-random-forest;https://bit.ly/3GYRAHn
Kaggle - Notebook;Prix.nc_Détection_anomalies_Kmeans;https://www.kaggle.com/code/jasknky/prix-nc-d-tection-anomalies-kmeans;https://bit.ly/432HkGH
Kaggle - Notebook;Prix.nc_Détection_Anomalies_DL_AutoEncoders;https://www.kaggle.com/code/jasknky/prix-nc-d-tection-anomalies-dl-autoencoders;https://bit.ly/4l8bGgX
Kaggle - Notebook;PRIX.NC_DATAUSE_Panier_ideal;https://www.kaggle.com/code/devibe/prix-nc-datause-panier-ideal;https://bit.ly/3HCgbCi
Kaggle - Output;Output - PRIX.NC_DATAUSE_Détection_anomalies_XGBoost;https://www.kaggle.com/code/devibe/prix-nc-datause-d-tection-anomalies-xgboost/output;https://bit.ly/4kMh6P8
Kaggle - Output;Output - PRIX.NC_DATAUSE_Panier_ideal;https://www.kaggle.com/code/devibe/prix-nc-datause-panier-ideal/output;https://bit.ly/3G2f6mz
Prix.nc;Site internet Prix.nc;https://prix.nc/;
Open Food Facts;Site internet Open Food Facts;https://fr.openfoodfacts.org/;
LinkedIn;Profil Adrien;https://www.linkedin.com/in/adrien-sales/;
LinkedIn;Profil Dévi;https://www.linkedin.com/in/deviberges/;
